query	target	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue	bits	database
WP_144726277.1	AF-A0A946ZBH1-F1-model_v6	0.616	772	296	0	23	794	23	794	5.219e-84	4547	uniprot
WP_119029036.1	AF-A0A7G8PWC4-F1-model_v6	0.64	807	290	0	3	808	77	883	5.875e-90	4457	uniprot
WP_144725782.1	AF-A0A5J4FY08-F1-model_v6	0.593	865	342	0	2	866	3	843	4.3680000000000004e-86	4446	uniprot
WP_144725419.1	AF-A0A5B8VFU7-F1-model_v6	0.546	818	368	0	1	812	1	818	7.932e-91	4433	uniprot
WP_119030377.1	AF-L7WBP9-F1-model_v6	0.586	799	330	0	1	799	1	798	4.075e-84	4389	uniprot
WP_144725423.1	AF-A0A522DL29-F1-model_v6	0.738	742	193	0	75	816	2	739	6.081e-84	4383	uniprot
WP_144727069.1	AF-A0A444VS18-F1-model_v6	0.63	763	282	0	2	764	47	808	1.238e-102	4375	uniprot
WP_119027670.1	AF-A0A958UEN0-F1-model_v6	0.626	812	303	0	21	832	6	817	1.522e-91	4363	uniprot
WP_144962477.1	AF-A0A559PPI1-F1-model_v6	1.0	749	0	0	1	749	1	749	4.3490000000000004e-104	4349	uniprot
WP_144725421.1	AF-A0A537KFE2-F1-model_v6	0.542	806	367	0	15	816	3	808	6.69e-83	4309	uniprot
WP_036821471.1	AF-A0A099Y366-F1-model_v6	0.995	688	3	0	1	688	1	688	1.146e-80	4254	uniprot
WP_144725940.1	AF-A0A6P0UC44-F1-model_v6	0.623	753	283	0	2	753	41	793	5.729e-86	4232	uniprot
WP_011710772.1	AF-A0A1H1NWD9-F1-model_v6	0.55	810	364	0	1	809	1	810	8.63e-90	4210	uniprot
WP_144725042.1	AF-A0A9E6ZMN5-F1-model_v6	0.577	856	361	0	8	863	22	876	1.9970000000000002e-98	4202	uniprot
WP_144726508.1	AF-A0A1H3ZFL1-F1-model_v6	0.49	970	429	0	7	849	2	971	2.052e-84	4200	uniprot
WP_144725803.1	AF-A0A1Z7Z3K0-F1-model_v6	0.508	811	398	0	1	810	1	811	1.397e-88	4156	uniprot
WP_144725392.1	AF-A0A8J6QFL8-F1-model_v6	0.621	773	293	0	12	784	12	784	6.223e-88	4153	uniprot
WP_038530499.1	AF-A0A4R8MFC8-F1-model_v6	0.803	802	158	0	15	816	15	816	3.349e-79	4137	uniprot
WP_026753888.1	AF-A0A1Z7Z3K0-F1-model_v6	0.493	811	411	0	1	811	1	811	2.417e-86	4124	uniprot
WP_038531857.1	AF-T2KPC3-F1-model_v6	1.0	664	0	0	1	664	1	664	5.507999999999999e-91	4094	uniprot
WP_011709806.1	AF-A0M2Q4-F1-model_v6	1.0	583	0	0	1	583	1	583	1.738e-98	4085	uniprot
WP_144726117.1	AF-A0A5C7GD55-F1-model_v6	0.605	807	310	0	18	824	18	802	1.0740000000000001e-79	4062	uniprot
WP_011709919.1	AF-D5BLW0-F1-model_v6	0.669	787	260	0	1	787	1	787	6.125e-86	4049	uniprot
WP_089663131.1	AF-D5BLW0-F1-model_v6	0.679	788	253	0	1	788	1	788	6.449e-92	4047	uniprot
WP_144726049.1	AF-A0A4Q7NXQ7-F1-model_v6	0.575	940	399	0	1	940	1	940	6.630999999999999e-60	4029	uniprot
WP_144963084.1	AF-D5BLW0-F1-model_v6	0.656	788	270	0	1	788	1	787	5.657e-91	3966	uniprot
WP_200882344.1	AF-A0A099Y0G0-F1-model_v6	0.998	658	1	0	1	658	5	662	5.454000000000001e-79	3961	uniprot
WP_144727278.1	AF-A0A3B0RP21-F1-model_v6	0.608	774	294	0	1	774	1	750	3.04e-86	3948	uniprot
WP_101449526.1	AF-A0A2N3TBM1-F1-model_v6	0.962	971	37	0	1	971	1	971	9.883e-89	3932	uniprot
WP_144726999.1	AF-A0A553CKW3-F1-model_v6	0.581	721	300	0	41	757	24	744	1.4e-77	3929	uniprot
WP_144726262.1	AF-A0A4V1VE27-F1-model_v6	0.741	627	162	0	1	627	44	670	3.3330000000000003e-87	3913	uniprot
WP_101449631.1	AF-A0A2N3TBZ4-F1-model_v6	0.993	767	5	0	1	767	1	767	2.702e-74	3901	uniprot
WP_091890959.1	AF-A0A1H1L5C8-F1-model_v6	1.0	613	0	0	1	613	1	613	2.187e-74	3885	uniprot
WP_143273584.1	AF-A0A0B7H1T0-F1-model_v6	0.322	1243	840	0	84	1326	9	1248	3.947e-73	3851	uniprot
WP_144726041.1	AF-A0A1L3JJW6-F1-model_v6	0.934	661	44	0	1	661	1	661	5.61e-79	3841	uniprot
WP_144725684.1	AF-A0A559S4N1-F1-model_v6	0.565	860	366	0	1	843	1	860	1.2390000000000001e-71	3793	uniprot
WP_101449569.1	AF-A0A2N3TBR2-F1-model_v6	1.0	586	0	0	1	586	1	586	2.358e-91	3790	uniprot
WP_051774895.1	AF-T2KQS2-F1-model_v6	1.0	591	0	0	1	591	1	591	6.614e-87	3788	uniprot
WP_144725014.1	AF-A0A4Q0XGM3-F1-model_v6	0.604	788	310	0	9	796	5	789	2.1430000000000003e-78	3781	uniprot
WP_144725671.1	AF-A0A318IEF0-F1-model_v6	0.56	745	324	0	21	765	11	748	5.5320000000000005e-87	3777	uniprot
WP_038529980.1	AF-T2KMF5-F1-model_v6	0.951	872	43	0	1	872	1	872	1.0150000000000001e-72	3754	uniprot
WP_026754921.1	AF-A0A4Q0XGM3-F1-model_v6	0.598	796	317	0	1	796	1	789	9.008e-77	3727	uniprot
WP_038529836.1	AF-A0A3D9L4B2-F1-model_v6	0.531	798	373	0	30	826	20	817	6.693e-71	3722	uniprot
WP_157691828.1	AF-A0A1H1L8T0-F1-model_v6	0.961	566	22	0	1	566	1	566	3.429e-73	3704	uniprot
WP_197539172.1	AF-A0AA43I112-F1-model_v6	0.535	924	428	0	1	921	1	924	5.1380000000000005e-71	3694	uniprot
WP_119030126.1	AF-A0A411E666-F1-model_v6	0.711	763	220	0	1	763	1	763	1.225e-66	3693	uniprot
WP_101449402.1	AF-A0A0A2H5H2-F1-model_v6	0.552	790	352	0	1	787	1	790	6.685e-83	3629	uniprot
WP_091894235.1	AF-A0A1H1PZS2-F1-model_v6	1.0	563	0	0	15	577	15	577	1.192e-79	3607	uniprot
WP_051774524.1	AF-A0A150AMJ1-F1-model_v6	0.562	878	383	0	13	887	12	889	3.752e-66	3574	uniprot
WP_036823956.1	AF-A0A1I6NPE7-F1-model_v6	0.52	794	380	0	1	794	1	792	6.737e-75	3563	uniprot
WP_011710841.1	AF-A0M5P5-F1-model_v6	1.0	478	0	0	1	478	1	478	1.1859999999999998e-81	3555	uniprot
WP_091894447.1	AF-A0A1H1QBS9-F1-model_v6	1.0	536	0	0	10	545	10	545	5.154e-73	3552	uniprot
WP_186434939.1	AF-A0A559PJI5-F1-model_v6	1.0	478	0	0	2	479	29	506	5.669000000000001e-78	3475	uniprot
WP_144726034.1	AF-A0A1I4UA98-F1-model_v6	0.618	606	231	0	15	620	7	611	7.615e-82	3474	uniprot
WP_233195807.1	AF-A0A5Q0JSN6-F1-model_v6	0.446	967	529	0	19	974	27	993	1.244e-66	3471	uniprot
WP_036824742.1	AF-A0A150AMJ1-F1-model_v6	0.552	876	390	0	19	889	16	891	7.858e-65	3451	uniprot
WP_119029088.1	AF-A0A9E5ZH07-F1-model_v6	0.619	636	242	0	8	643	9	644	2.586e-76	3449	uniprot
WP_101446381.1	AF-A0A2N3T3F8-F1-model_v6	1.0	633	0	0	1	633	1	633	1.009e-78	3402	uniprot
WP_101449570.1	AF-H2BUJ1-F1-model_v6	0.603	742	292	0	1	742	1	736	5.022e-74	3387	uniprot
WP_143273597.1	AF-A0A2N3T568-F1-model_v6	1.0	557	0	0	1	557	1	557	3.736e-73	3371	uniprot
WP_144724923.1	AF-A0A2T4WJK8-F1-model_v6	0.565	800	346	0	1	800	1	797	4.069e-73	3361	uniprot
WP_143273634.1	AF-A0A2N3T8J8-F1-model_v6	0.987	659	9	0	13	671	1	659	1.113e-69	3355	uniprot
WP_144725557.1	AF-A0A976L2N5-F1-model_v6	0.563	628	257	0	2	589	6	633	6.355e-79	3337	uniprot
WP_144726392.1	AF-A0A7Y2GUB0-F1-model_v6	0.603	702	278	0	3	704	5	704	1.976e-74	3316	uniprot
WP_091891030.1	AF-A0A3N4NDD5-F1-model_v6	0.603	787	312	0	5	790	8	794	7.133000000000001e-72	3313	uniprot
WP_026935248.1	AF-A0M5P5-F1-model_v6	0.878	477	58	0	1	477	1	475	6.768e-76	3302	uniprot
WP_101447054.1	AF-A0A2N3T4K4-F1-model_v6	0.89	966	106	0	1	966	1	966	7.811000000000001e-76	3276	uniprot
WP_143273583.1	AF-A0A023BQE9-F1-model_v6	0.83	543	91	0	1	543	1	538	5.636e-67	3269	uniprot
WP_119029335.1	AF-A0A397LBD4-F1-model_v6	1.0	444	0	0	1	444	1	444	1.039e-80	3259	uniprot
WP_089660977.1	AF-A0A1H1KWR5-F1-model_v6	1.0	466	0	0	1	466	1	466	7.878999999999999e-59	3238	uniprot
WP_036822229.1	AF-A0A099Y1I7-F1-model_v6	0.978	604	13	0	1	604	1	604	7.558999999999999e-66	3234	uniprot
WP_144724742.1	AF-A0A8J3BRL5-F1-model_v6	0.59	565	230	0	18	580	1	565	1.044e-69	3224	uniprot
WP_144726030.1	AF-A0A9E2B113-F1-model_v6	0.566	723	308	0	46	756	2	724	1.077e-62	3220	uniprot
WP_144724739.1	AF-A0A7C5I434-F1-model_v6	0.66	553	188	0	26	578	2	554	8.602e-78	3213	uniprot
WP_144726186.1	AF-A0A9E0MRI6-F1-model_v6	0.608	536	210	0	1	536	4	539	8.399e-78	3200	uniprot
WP_144962582.1	AF-H2BUJ1-F1-model_v6	0.572	736	312	0	1	730	1	736	5.224e-71	3199	uniprot
WP_101449668.1	AF-A0A2N3TC33-F1-model_v6	0.984	530	8	0	1	530	1	530	2.029e-61	3194	uniprot
WP_051774530.1	AF-A0A099Y0G0-F1-model_v6	0.583	651	271	0	1	650	11	661	3.054e-62	3170	uniprot
WP_148304571.1	AF-A0A9X0YM89-F1-model_v6	0.638	528	190	0	1	525	1	528	1.05e-70	3162	uniprot
WP_119027985.1	AF-L8JKT3-F1-model_v6	0.613	587	222	0	6	579	4	590	5.771e-63	3156	uniprot
WP_144958944.1	AF-A0A285X5Y7-F1-model_v6	0.78	473	104	0	1	473	1	473	2.49e-72	3152	uniprot
WP_144727356.1	AF-A0A7Y3DUJ2-F1-model_v6	0.759	487	116	0	15	498	12	498	8.992e-76	3145	uniprot
WP_119028203.1	AF-A0A432IG11-F1-model_v6	0.583	578	240	0	1	578	1	576	8.310000000000001e-72	3120	uniprot
WP_041250123.1	AF-A0M4N4-F1-model_v6	0.952	652	31	0	2	653	10	661	2.9630000000000003e-65	3115	uniprot
WP_119029895.1	AF-A0A1D8P6Q3-F1-model_v6	0.66	610	203	0	3	612	2	600	7.915e-56	3113	uniprot
WP_232501929.1	AF-H2BUJ1-F1-model_v6	0.552	710	317	0	2	710	28	737	8.37e-71	3095	uniprot
WP_143273556.1	AF-A0A2N3T2I8-F1-model_v6	1.0	714	0	0	2	715	45	758	1.767e-66	3085	uniprot
WP_197022164.1	AF-A0A946ZIA8-F1-model_v6	0.579	600	248	0	1	600	1	590	8.359e-65	3065	uniprot
WP_144727301.1	AF-A0A7Y6ZMX8-F1-model_v6	0.542	584	265	0	1	579	15	598	3.019e-69	3064	uniprot
WP_144725805.1	AF-A0A397LEX8-F1-model_v6	0.977	531	12	0	3	533	1	531	3.0090000000000003e-57	3047	uniprot
WP_144726270.1	AF-A0A397LBD9-F1-model_v6	0.969	463	14	0	1	463	1	463	1.686e-59	3045	uniprot
WP_144962583.1	AF-A0A5C6ZPS2-F1-model_v6	0.62	582	221	0	1	582	1	582	8.21e-73	3037	uniprot
WP_144725054.1	AF-A0A397L709-F1-model_v6	0.998	506	1	0	1	506	1	506	2.154e-66	3034	uniprot
WP_041249961.1	AF-A0A7K1LMZ2-F1-model_v6	0.623	507	191	0	1	507	1	507	9.968e-71	3026	uniprot
WP_156109077.1	AF-A0A099Y295-F1-model_v6	0.985	616	9	0	113	728	1	616	3.844e-64	3009	uniprot
WP_101447339.1	AF-A0A7D7ZXG8-F1-model_v6	0.66	506	171	0	1	504	3	508	5.508e-64	2991	uniprot
WP_144727160.1	AF-A0A7Y3DW81-F1-model_v6	0.606	580	228	0	1	580	1	580	2.8149999999999996e-51	2969	uniprot
WP_144725034.1	AF-A0A0R2X0F3-F1-model_v6	0.535	610	281	0	1	606	1	610	3.918e-63	2960	uniprot
WP_038530408.1	AF-A0A2I7SK24-F1-model_v6	0.626	524	194	0	1	524	1	519	3.757e-58	2960	uniprot
WP_119029294.1	AF-A0A7Y2ATU2-F1-model_v6	0.692	576	176	0	1	574	1	576	1.493e-52	2958	uniprot
WP_101446804.1	AF-A0A2N3T457-F1-model_v6	1.0	463	0	0	1	463	1	463	1.273e-71	2956	uniprot
WP_101450491.1	AF-A0A7D7ZXG8-F1-model_v6	0.652	506	175	0	1	504	3	508	1.865e-62	2952	uniprot
WP_119029754.1	AF-A0A5C6F6T1-F1-model_v6	0.636	542	194	0	4	545	84	617	9.863e-55	2945	uniprot
WP_144727307.1	AF-A0A1T5BYA9-F1-model_v6	0.557	557	246	0	14	570	29	584	6.46e-70	2941	uniprot
WP_101450850.1	AF-A0A355W4V1-F1-model_v6	0.706	529	155	0	1	529	2	530	7.694e-64	2934	uniprot
WP_036820776.1	AF-A0A6L4YYN7-F1-model_v6	0.532	589	275	0	3	591	2	589	5.413e-59	2931	uniprot
WP_101448433.1	AF-A0A7D7ZXG8-F1-model_v6	0.643	502	179	0	1	502	3	504	8.601e-61	2903	uniprot
WP_144726332.1	AF-A0A1G7B8C5-F1-model_v6	0.666	504	165	0	1	495	78	581	5.101e-64	2900	uniprot
WP_144726027.1	AF-A0A959GA50-F1-model_v6	0.618	550	209	0	1	548	1	550	2.245e-64	2892	uniprot
WP_144725953.1	AF-A0A397LID3-F1-model_v6	0.972	514	14	0	1	514	1	514	1.818e-61	2888	uniprot
WP_101447618.1	AF-A0A2N3T5N2-F1-model_v6	0.987	477	6	0	1	477	1	477	2.2020000000000002e-63	2888	uniprot
WP_144727162.1	AF-A0A4Q0XMM7-F1-model_v6	0.611	589	228	0	3	591	1	587	4.168e-49	2880	uniprot
WP_101445940.1	AF-A0A2N3T2Q7-F1-model_v6	1.0	484	0	0	1	484	1	484	2.795e-52	2873	uniprot
WP_144725938.1	AF-A0A397LEZ4-F1-model_v6	0.992	407	3	0	3	409	1	407	1.146e-65	2865	uniprot
WP_101447367.1	AF-A0A7D7ZXG8-F1-model_v6	0.617	505	193	0	1	505	3	506	3.1959999999999997e-60	2864	uniprot
WP_038530176.1	AF-A0A6L4YYN7-F1-model_v6	0.542	592	268	0	4	595	3	589	5.286e-62	2859	uniprot
WP_101450006.1	AF-A0A7D7ZXG8-F1-model_v6	0.62	506	191	0	1	504	3	508	2.961e-61	2847	uniprot
WP_101450018.1	AF-A0A7D7ZXG8-F1-model_v6	0.605	505	199	0	1	505	3	507	2.416e-61	2845	uniprot
WP_144961129.1	AF-A0A3G6RM64-F1-model_v6	0.58	750	314	0	1	750	1	749	1.9179999999999998e-61	2837	uniprot
WP_101450011.1	AF-A0A7D7ZXG8-F1-model_v6	0.617	505	192	0	1	503	3	507	3.263e-63	2833	uniprot
WP_038530528.1	AF-A0A1G9XUU6-F1-model_v6	0.596	638	257	0	1	638	1	637	5.555e-62	2832	uniprot
WP_011709292.1	AF-A0A4Q0P7L5-F1-model_v6	0.538	598	274	0	3	600	4	597	8.254e-58	2822	uniprot
WP_144961056.1	AF-A0A559PM48-F1-model_v6	1.0	497	0	0	1	497	1	497	5.365e-62	2811	uniprot
WP_036820908.1	AF-A0A2G6LNF7-F1-model_v6	0.534	680	316	0	12	690	13	692	1.073e-54	2801	uniprot
WP_144726698.1	AF-A0A7Y3H4X6-F1-model_v6	0.631	533	196	0	1	533	1	533	5.036e-52	2794	uniprot
WP_101449031.1	AF-A0A2N3TA12-F1-model_v6	1.0	610	0	0	1	610	1	610	3.027e-60	2786	uniprot
WP_101448594.1	AF-A0A2N3T8P1-F1-model_v6	1.0	475	0	0	1	475	1	475	1.356e-54	2781	uniprot
WP_144724992.1	AF-A0A559RCW8-F1-model_v6	0.69	455	140	0	1	455	2	453	1.4120000000000002e-57	2778	uniprot
WP_144726854.1	AF-A0A958U8E9-F1-model_v6	0.786	431	92	0	23	453	96	525	1.661e-66	2777	uniprot
WP_119029876.1	AF-A0A397LFE0-F1-model_v6	1.0	507	0	0	1	507	1	507	1.035e-48	2775	uniprot
WP_101446004.1	AF-A0A2N3T2U2-F1-model_v6	1.0	509	0	0	1	509	1	509	4.49e-59	2766	uniprot
WP_156109111.1	AF-A0A099Y1G6-F1-model_v6	1.0	488	0	0	1	488	1	488	1.096e-52	2761	uniprot
WP_144962483.1	AF-A0A4Q0P7L5-F1-model_v6	0.537	596	273	0	5	600	6	596	2.1260000000000002e-55	2752	uniprot
WP_036819928.1	AF-A0A099Y0Z3-F1-model_v6	0.989	585	6	0	1	585	1	585	1.665e-69	2752	uniprot
WP_119028016.1	AF-A0A1G6FAN9-F1-model_v6	0.644	447	159	0	1	447	19	465	1.223e-59	2752	uniprot
WP_119030264.1	AF-A0A1I2NEM7-F1-model_v6	0.79	429	90	0	1	429	52	480	2.976e-64	2750	uniprot
WP_157691826.1	AF-A0A495E8L2-F1-model_v6	0.48	554	287	0	1	554	1	553	2.131e-53	2749	uniprot
WP_101447977.1	AF-A0A444WEU6-F1-model_v6	0.474	516	267	0	1	509	1	516	2.564e-53	2746	uniprot
WP_036827301.1	AF-Q7UHJ8-F1-model_v6	0.587	495	203	0	32	526	36	527	4.9170000000000005e-65	2740	uniprot
WP_157717348.1	AF-A0A2T6AIP9-F1-model_v6	0.815	492	91	0	4	494	20	511	1.703e-58	2737	uniprot
WP_144726420.1	AF-A0A954NFP4-F1-model_v6	0.561	481	209	0	1	478	1	481	1.7510000000000001e-65	2733	uniprot
WP_148304631.1	AF-A0A7K3MS53-F1-model_v6	0.605	543	213	0	20	562	21	561	4.685999999999999e-53	2730	uniprot
WP_101448519.1	AF-A0A6I6JYZ1-F1-model_v6	0.61	693	269	0	1	691	1	693	3.962e-58	2728	uniprot
WP_038528998.1	AF-A0A2G6LNF7-F1-model_v6	0.513	679	330	0	12	690	13	690	1.043e-54	2725	uniprot
WP_091893451.1	AF-A0A2G6LNF7-F1-model_v6	0.497	688	342	0	2	689	10	690	1.7149999999999999e-53	2717	uniprot
WP_144726544.1	AF-A0A562YF10-F1-model_v6	0.232	1648	836	0	41	1688	42	1130	3.795e-49	2714	uniprot
WP_144725105.1	AF-A0A9E2ENZ6-F1-model_v6	0.609	551	213	0	1	551	1	546	5.847e-62	2703	uniprot
WP_119029084.1	AF-A0A941HP48-F1-model_v6	0.74	447	115	0	1	445	2	448	1.775e-62	2696	uniprot
WP_143273664.1	AF-A0A2N3TAN1-F1-model_v6	1.0	392	0	0	1	392	10	401	1.9979999999999999e-53	2688	uniprot
WP_144959675.1	AF-A0A559PJX3-F1-model_v6	1.0	523	0	0	1	523	1	523	1.463e-60	2678	uniprot
WP_144963531.1	AF-A0A559PSU4-F1-model_v6	1.0	380	0	0	1	380	1	380	2.2009999999999997e-53	2648	uniprot
WP_144727299.1	AF-A0A512BDQ7-F1-model_v6	0.642	477	170	0	2	477	43	519	1.527e-60	2638	uniprot
WP_143273629.1	AF-A0A2N3T8H2-F1-model_v6	0.89	651	72	0	1	651	1	651	1.069e-59	2633	uniprot
WP_144724991.1	AF-G2PIS8-F1-model_v6	0.694	451	137	0	6	455	1	451	5.4290000000000006e-55	2628	uniprot
WP_101448555.1	AF-A0A2N3T8J3-F1-model_v6	1.0	449	0	0	1	449	1	449	1.788e-64	2624	uniprot
WP_144959117.1	AF-A0A495P7B4-F1-model_v6	0.901	466	46	0	1	465	1	466	4.0619999999999997e-54	2613	uniprot
WP_144725110.1	AF-A0A512BDQ7-F1-model_v6	0.615	489	188	0	25	513	31	519	8.591e-60	2611	uniprot
WP_157691836.1	AF-A0AAJ1VHU9-F1-model_v6	0.863	524	72	0	1	524	4	527	1.962e-93	2602	uniprot
WP_144725923.1	AF-A0A9X3CVE2-F1-model_v6	0.694	446	134	0	1	446	1	438	2.3520000000000002e-63	2602	uniprot
WP_119029588.1	AF-A0A397LM61-F1-model_v6	1.0	375	0	0	1	375	1	375	7.583000000000001e-58	2590	uniprot
WP_144725365.1	AF-A0A397LGD6-F1-model_v6	0.985	496	7	0	1	496	1	496	1.037e-61	2580	uniprot
WP_052108460.1	AF-A0A099Y6E3-F1-model_v6	1.0	466	0	0	13	478	13	478	2.835e-61	2575	uniprot
WP_089663564.1	AF-A0A550I6L8-F1-model_v6	0.721	557	154	0	1	554	1	557	4.699e-53	2574	uniprot
WP_156109161.1	AF-A0A1Y0N098-F1-model_v6	0.876	509	62	0	17	518	1	509	1.924e-50	2566	uniprot
WP_101448407.1	AF-A0A941CCS6-F1-model_v6	0.673	521	170	0	12	532	21	540	1.73e-48	2564	uniprot
WP_038530664.1	AF-T2KMM7-F1-model_v6	1.0	417	0	0	1	417	1	417	7.338e-52	2545	uniprot
WP_144724780.1	AF-A0AAU7EGT6-F1-model_v6	0.542	471	214	0	1	471	1	468	1.7689999999999997e-53	2543	uniprot
WP_156109101.1	AF-A0A099Y4M4-F1-model_v6	1.0	549	0	0	1	549	1	549	8.112e-62	2542	uniprot
WP_144725846.1	AF-A0A5C7BD14-F1-model_v6	0.727	433	118	0	1	433	1	433	3.843e-60	2537	uniprot
WP_101448316.1	AF-A0A227P4S7-F1-model_v6	0.472	736	380	0	20	739	1	736	2.292e-57	2531	uniprot
WP_144725680.1	AF-A0A923KL55-F1-model_v6	0.733	486	128	0	1	486	1	482	2.429e-49	2530	uniprot
WP_119027540.1	AF-A0A397LG72-F1-model_v6	0.986	537	8	0	1	537	1	537	1.1889999999999998e-53	2527	uniprot
WP_144727075.1	AF-A0AA97DEH9-F1-model_v6	0.675	498	161	0	1	495	1	498	3.387e-50	2523	uniprot
